quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
formulas|formeln|
go away|fortgehe|
sparkling|funkelnd|
fädele|fädele|
shaped|geformt|
Witty|geistreiche|
ingenious|genial|
enjoyed|genoß|
terrible|grauenhaft|
greenest|grünst|
gönnend|gönnend|
hangele|hangele|
cheerful|heitern|
into appliances|hineingerate|
pride|hochmut|
breezy|kessem|
ankle|knöchel|
goblins|kobolde|
headless|kopflos|
pathological|krankhaft|
apprentice|lehrling|
losmache|losmache|
machine gun|maschinengewehr|
meuterin|meuterin|
michelangelo|michelangelo|
minerva|minerva|
cap|mütze|
nachstelle|nachstelle|
useless|nutzlos|
närrischem|närrischem|
offline|offline|
box on the ears|ohrfeige|
relic|relikt|
round|runder|
residual|rückständigem|
shake|rütteln|
nasty|scheußliche|
loop|schlaufe|
loop|schlinge|
sniff|schnuppern|
hexagon|sechseck|
solid|solide|
speculate|spekuliere|
gimmick|spielerei|
bubble|sprudeln|
constant|unentwegt|
inexorably|unerbittlich|
undoubted|unzweifelhaft|
verbeugst|verbeugst|
make sure|vergewissere|
degenerate|verkommende|
verschlaft|verschlaft|
fully bring|vollbringe|
wistful|wehmütigem|
more travel|weiterreise|
adverse|widriger|
contemporary|zeitgemäß|
fragile|zerbrechlichem|
get back|zurückbekomme|
send back|zurückschicke|
WOULD together|zusammenwirke|
convincing|überzeugendem|
Seconded|abgeordneter|
ann|ann|
assumptions|annahmen|
employees|arbeitern|
Labor market|Arbeitsmarkt|
mode of expression|ausdrucksweise|
accompaniment|begleitung|
break|brecht|
mayor|bürgermeister|
dialogue|dialog|
thirteen|dreizehn|
energy|energie|
designs|entwürfe|
create|erstelle|
narrator|erzähler|
fan|fan|
windows|fenstern|
stains|flecke|
period|frist|
guarantor|garant|
laugh|gelacht|
winning|gewinnt|
graphic|grafik|
halfway|halbwegs|
heiden|heiden|
safely|heil|
over|herüber|
holla|holla|
holocaust|holocaust|
humor|humor|
dogs|hunde|
integration|integration|
Jesuit|jesuiten|
empress|kaiserin|
under no circumstances|keinesfalls|
child|kindes|
clarity|klarheit|
curia|kurie|
textbook|lehrbuch|
reading|lesung|
machs|machs|
materials|materials|
fair|messe|
at midday|mittags|
midnight|mitternacht|
sometimes|mitunter|
munich|münchner|
retrospect|nachhinein|
close|nah|
normal|normal|
grade|note|
uncle|onkel|
uncles|onkeln|
victim|opfers|
park|park|
Pathos|Pathos|
embarrassing|peinlich|
plague|pest|
platform|plattform|
poetry|poesie|
portrait|porträt|
virtually|quasi|
radio|radio|
rescue|rettung|
pink|rosa|
shame|schande|
referee|schiedsrichter|
Swabian|Schwabe|
sulfur|schwefel|
siegfried|siegfried|
stopped|stehengeblieben|
verse|strophe|
storm|sturm|
south|süd|
terror|terror|
dead|toter|
tricia|tricia|
killing|tötung|
udo|udo|
surroundings|umfeld|
free|umsonst|
signing|unterzeichnung|
a priori|vornherein|
commodity|ware|
warns|warnt|
meanwhile|währenddessen|
benefit|zugute|
incident|zwischenfall|
over|übers|
Waldzell|Waldzell|
Alchemist|Alchimist|
adventurer|abenteurer|
strayed|abgekommen|
expired|abgelaufen|
cut off|abgeschlagen|
discontinued|abgesetzt|
isolated|abgesondert|
away|abgewandt|
abysmal|abgrundtief|
abholst|abholst|
abrupt|abrupt|
abschüttele|abschüttele|
pay her|abstatte|
dismisses|abweise|
file|akte|
all this|alledem|
ubiquitous|allgegenwärtig|
amazon|amazon|
andalucia|andalusien|
tethered|angebunden|
logged|angemeldet|
found|angetroffen|
arrogates|anmaßt|
anmerke|anmerke|
look at|ansiehst|
Antwerp|antwerpen|
put on|anziehst|
to listen|anzuhören|
disputing|anzweifele|
unemployed|arbeitsloser|
Armenia|armenien|
ash|asche|
depleted|aufgebraucht|
found|aufgefunden|
torn|aufgerissen|
called|aufgerufen|
occurred|aufgetreten|
shall hear,|aufhorche|
resident|aufhält|
clean up|aufräume|
awaken|aufwecke|
aufzeige|aufzeige|
broken|ausgebrochen|
extinguished|ausgelöscht|
displayed|ausgestellt|
replaced|ausgetauscht|
paid|ausgezahlt|
auskoste|auskoste|
laugh at|auslache|
extent|ausmass|
exclamation|ausruf|
Austrasia|austrien|
basilica|basilika|
deplorable|bedauernswert|
, cover|bedecke|
buried|beigesetzt|
exemplary|beispielhaft|
should attend|beiwohne|
concerns|belange|
teach|belehre|
kid|bengel|
behave|benimm|
berauschst|berauschst|
provided|bereitgestellt|
professional|beruflichem|
is based|beruhe|
beschütz|beschütz|
better knowledge|besserwissens|
fraudulent|betrüge|
bewirf|bewirf|
trillion|billion|
bites|bisse|
little|bißchen|
blanco|blanco|
Looking|blickend|
blood-red|blutrot|
Lake Constance|Bodensee|
Brazilian|brasilianisch|
villain|bösewicht|
center|center|
charm|charme|
decadence|dekadenz|
distances|distanzen|
thirteen|dreizehnjährig|
open|durchbrochen|
pierce|durchstoße|
the finest|edelstem|
edition|edition|
efficient|effizient|
wife|ehefrau|
property|eigentum|
Influence|Einflusse|
introduced|eingebracht|
broken|eingebrochen|
asleep|eingeschlafen|
wrapped|eingewickelt|
be clear|einleuchten|
grants|einräume|
objection|einwände|
elf|elfen|
elsa|elsa|
parents' house|elternhaus|
precludes|entgegenstehe|
more decisive|entscheidendere|
entwirf|entwirf|
climb up|erklimme|
erlittenem|erlittenem|
adult|erwachsener|
erwärmst|erwärmst|
create|erzeuge|
exerziere|exerziere|
favorite|favorit|
completed|fertiggestellt|
ankle|fessel|
greasy|fettig|
Finland|finnland|
airport|flughafen|
freer|freiern|
releasing|freigebe|
free do|freimache|
strange|fremdartig|
fruits|früchten|
due|fällig|
gackere|gackere|
bilious|gallig|
humiliated|gedemütigt|
commemorates|gedenkt|
geduldest|geduldest|
made|gefertigt|
flown|geflogen|
happy|gefreut|
dyed|gefärbt|
felt|gefühlt|
given|gegebener|
confront|gegenüberstehe|
smoothed|geglättet|
prevented|gehindert|
deleted|gelöscht|
hired|gemietet|
geologist|geologe|
Georgia|georgi|
Court of Justice|gerichtshof|
Forged|geschmiedet|
split|gespalten|
cleaned|gesäubert|
maintained|gewahrt|
delayed|gezögert|
nevertheless|gleichwohl|
slip|gleite|
glowing|glühende|
Got|got|
Great Powers|Großmächte|
basic Act|grundgesetzes|
report|gutachten|
detention|haft|
adhere|haften|
resin|harz|
the main thing|hauptsache|
booklets|hefte|
entertain|hegen|
healing|heilende|
haunted|heimgesucht|
conjured up|heraufbeschwor|
find out|herausfinde|
brought|hergebracht|
helpful|hilfreich|
hinauszögere|hinauszögere|
drawn|hineingezogen|
put into|hineinstecke|
pointed|hingewiesen|
go back|hintergehe|
add|hinzufüge|
unofficially|inoffiziell|
interviews|interviews|
for centuries|jahrhundertelang|
decades|jahrzehntelang|
combative|kampfes|
Karlsruhe|Karlsruhe|
candle|kerze|
tickle|kitzeln|
klapperig|klapperig|
Dress|kleide|
clarify|kläre|
continental|kontinentale|
continents|kontinente|
controls|kontrollen|
convention|konvent|
corrections|korrekturen|
krauss|krauss|
kriseln|kriseln|
kränkst|kränkst|
box|kästchen|
bodies|körpern|
laboratories|laboratorien|
lamp|lampe|
map|landkarte|
lurks|lauert|
let|laß|
Resumes|lebensläufe|
lights|lichtern|
reads|liest|
Honorable|lobende|
Blaze|lodere|
development|lung|
flawless|makellos|
marian|marian|
mathias|mathias|
medallion|medaillon|
media|media|
drug|medikament|
perennial|mehrjährig|
mastering|meistere|
noticeably|merklich|
Messiah|messias|
bring with|mitbringe|
mohr|mohr|
moments|momente|
for months|monatelang|
Tomorrow|morgige|
mother tongue|muttersprache|
imitated|nachgeahmt|
nachzeichne|nachzeichne|
designated|namhaft|
National Socialism|Nationalsozialismus|
negro|negro|
Neptune|neptun|
recently|neulich|
precipitation|niederschlag|
mean|niederträchtig|
take|nimm|
Norman|norman|
Norwegian|norwegisch|
Nuremberg|Nürnberg|
profitable|nütze|
opponiere|opponiere|
East Prussian|ostpreuße|
game|partie|
parton|parton|
passion|passion|
gate|pforte|
philosophierst|philosophierst|
pins|pins|
plastic|plastik|
flat|platt|
Pole|pole|
celebrities|promis|
Protector|Protektor|
plaster|putz|
tormentor|quäler|
raffst|raffst|
rase|rase|
rat|ratte|
clean|reinige|
riding|reit|
reserves|reserven|
disrespectful|respektlos|
rival|rivale|
pipe|rohr|
route|route|
ruin|ruin|
edges|ränder|
relapse|rückfall|
gently|sacht|
Salier|salier|
salty|salzig|
chess game|schachspiel|
pubic hair|schamhaar|
shudder|schaudern|
mariners|schiffern|
battlefield|schlachtfeld|
grinds|schleift|
shot|schoss|
schwirrst|schwirrst|
swelled|schwoll|
oath|schwur|
estimates|schätzungen|
creator|schöpferin|
see|sehn|
shallow|seicht|
server|server|
ensure|sichergestellt|
Slovene|Slowene|
smaria|smaria|
social|social|
Spanish|spanisch|
spit|spit|
nickname|spitzname|
sport|sportart|
commercial|spot|
came|stammte|
shrub|staude|
put|stecke|
structure|struktur|
stormy|stürmisch|
swamp|sumpf|
Syrian|syrisch|
Marshes|sümpfe|
sins|sünden|
day out|tagein|
participated|teilgenommen|
pace|tempo|
expensive|teuer|
theatrical|theatralisch|
tiberias|tiberias|
tables|tische|
titanium|titan|
rages|tobt|
tropez|tropez|
comforting|tröstens|
trübst|trübst|
killed|umgekommen|
envelope|umschlag|
unintentionally|unabsichtlich|
unceasingly|unaufhörlich|
undisputed|unbestritten|
enormously|ungeheuer|
bothersome|unleidig|
inhuman|unmenschlich|
lower|untere|
Ran|unterging|
undermines|untergrabe|
ceasing|unterlaß|
be signed|unterschreib|
underline|unterstreiche|
submerging|untertauche|
urban|urban|
variant|variante|
despise|verachtest|
forbid|verbiet|
burn|verbrenn|
compare|vergleichst|
verkündigst|verkündigst|
encrypting|verschlüsselns|
verselbstständige|verselbstständige|
sinking|versinke|
passed|verstrich|
neglect|versäume|
vertretet|vertretet|
Forgive|verzeih|
verzerrst|verzerrst|
a wry|verzog|
verzückst|verzückst|
quarter of an hour|viertelstunde|
go ahead|vorangehe|
bring before|vorführe|
predetermining|vorgebe|
seemed|vorkam|
conceivable|vorstellbar|
wake up|wacht|
venture|wagnis|
omitted|weggelassen|
moved away|weggezogen|
reasonably chicke|wegschicke|
Christmas ball|weihnachtsball|
make up for|wettmache|
again recognize|wiedererkenne|
reproduced|wiedergegeben|
acting|wirkende|
scientist|wissenschaftlerin|
feel comfortable|wohlfühle|
place of residence|wohnort|
silent|wortlos|
wölbst|wölbst|
conjures up|zaubert|
lacerated|zerfetzt|
disintegrated|zerfiel|
zerfresse|zerfresse|
contrite|zerknirscht|
ziemlichem|ziemlichem|
twitch|zuckst|
to each other|zueinander|
Affiliation|Zugehörigkeit|
authorized|zugelassen|
increased|zugenommen|
assured|zugesichert|
access|zugriff|
Additions|zugänge|
recycled|zurückgeführt|
returned|zurückgegeben|
retained|zurückgehalten|
withdrawn|zurückgenommen|
rejected|zurückgewiesen|
thrown back|zurückgeworfen|
stand back|zurückstehe|
commitment|zusage|
met|zusammengetreten|
zuschicke|zuschicke|
second largest|zweitgrößte|
twenty-two|zweiundzwanzig|
overflow|überlauf|
abwandele|abwandele|
ginny|ginny|
neville|neville|
Petticoat|Unterkleid|
become lonely|vereinsamen|
shoulders|achseln|
Alchemy|Alchimie|
befriend|anfreunden|
tense|angespannt|
monoexponential|angleiche|
hill|anhöhe|
address|anzugehen|
conspicuous|auffällig|
bloated|aufgebläht|
alert|aufgeweckt|
open|aufschlagen|
selected|ausgesucht|
will settle|begleiche|
blessed|begnadet|
unprecedented|beispiellos|
pitiful|bemitleidenswert|
prune|beschneide|
bewirtens|bewirtens|
blätterst|blätterst|
Bundeswehr|Bundeswehr|
coarse|derb|
Triangles|dreiecke|
duel|duellieren|
skinny|dürrer|
springs from|entspringe|
shake|erbeben|
sublime|erhabenes|
erlegst|erlegst|
crave|ersehnst|
colored|farbig|
stunned|fassungslos|
faulst|faulst|
bondage|fesselns|
confession|gebeichtet|
gradient|gefälle|
justified|gerechtfertigt|
shaken|geschüttelt|
Plant|Gewächs|
shudder|graust|
go out|herausgehe|
helpful|hilfsbereit|
look into it|hineinsehe|
illustrierst|illustrierst|
scheming|intrigant|
karras|karras|
competently|kompetent|
confederal|konföderal|
brim|krempe|
legal|legale|
powerless|machtlos|
many|mancherlei|
Mecca|mekka|
compassion|mitgefühl|
take with|mitnehme|
nachsehe|nachsehe|
Lower Saxony|Niedersachsen|
penetrating|penetrant|
prominent|prominenter|
bump up|pusteln|
district|reviers|
revolt|revoltieren|
Knight|ritterin|
ritual|rituell|
pucker|runzeln|
gentler|sanftere|
enamel|schmelzes|
unprotected|schutzlos|
settled|sesshaft|
steadfast|standhaft|
lift|stemmen|
Saxon|sächsische|
would look|sähe|
some have|teilhabt|
ultimatum|ultimatum|
kill|umbringe|
inappropriate|unangebracht|
thoughtless|unbedacht|
unconcerned|unbekümmert|
unlimited|unbeschränkt|
unguarded|unbewacht|
uncovered|ungedeckt|
uninteresting|uninteressant|
unfavorable|unvorteilhaft|
reward|vergelte|
vergeudern|vergeudern|
relatively|verhältnismäßig|
get lost|verirrst|
TO MEASURE|vermesse|
traitor|verräterin|
oversleep|verschlafe|
verschoss|verschoss|
protest|verwahre|
quartered|vierteilen|
people|volks|
set|vorgegeben|
predict|vorhersagen|
prefer|vorziehe|
blowing|wehend|
recurring|wiederkehrende|
licentiousness|wollüste|
early|zeitig|
time hole|zeitloch|
smash|zerschlag|
tremble|zitterst|
Customs|zoll|
listen|zuhörst|
rebuke|zurechtweise|
back in its|zurückgelegen|
together|zusammengefügt|
bring about|überbringe|
Supercharged|überlud|
lupine|lupin|
Phoenicia|phönizien|
shit|scheißen|
turu|turu|
cancellation|absage|
copy|abschrift|
allerwenigste|allerwenigste|
ammonia|ammoniak|
amulet|amulett|
anecdote|anekdote|
incentive|ansporn|
applying|anwende|
architect|architekt|
Assyrian|assyrer|
canceling|aufhebe|
absorb|aufnimmst|
aufseht|aufseht|
equipment|ausrüstung|
bankrupt|bankrott|
threatening|bedrohe|
deal|befasse|
belauft|belauft|
entitlement|berechtigung|
cheating|betrog|
blinding|blendendem|
good|brav|
carl|carl|
characters|charaktere|
roof|dach|
datteln|datteln|
bow and scrape|dienern|
document|dokumentes|
village|dorfes|
DOS|dos|
due|due|
thirst|durst|
dry|dürr|
effect|effekt|
lizard|eidechse|
bucket|eimer|
remember|entsinne|
detected|erfaßt|
fictitious|erfundenem|
poured|ergoss|
murder|ermorde|
appoint|ernenne|
feeding|ernähre|
warm it|erwärme|
flag|fahne|
vehicles|fahrzeuge|
faktes|faktes|
fat|fat|
TV station|fernsehsender|
running|fließendem|
flight time|flugzeit|
flood|flut|
food|fraß|
freezing|frier|
catch|fängst|
caught|gefangener|
endangering|gefährdung|
return|gegenzug|
hoped|gehofft|
sidewalk|gehsteig|
sheared|geschert|
skill|geschick|
ordinary|gewöhn|
church services|gottesdienste|
grave stone|grabstein|
degrees|graden|
gray|grau|
gryffindor|gryffindor|
goodness|güte|
hatred|haß|
heroine|heldin|
Handles|henkeln|
huber|huber|
internal|intern|
intervention|intervention|
be wrong|irren|
anniversary|jahrestag|
Empire|Kaisertum|
germs|keime|
dresses|kleidern|
corridor|korridor|
beetle|käfer|
maze|labyrinth|
country house|landhaus|
farmer|landwirt|
agriculture|landwirtschaft|
vice|laster|
Suffering|leidens|
leader|leiterin|
songs|lieder|
workflows|läufe|
delete|lösch|
Mannheim|mannheim|
manuscript|manuskript|
margaret|margaret|
market|markt|
massacre|massaker|
mechanics|mechanik|
metropolis|metropole|
mothers|mütter|
maternal|mütterlich|
neighbor|nachbarin|
complements are|nachträge|
Napoleonic|napoleonische|
nurturing|nähre|
oracle|orakel|
orientable|orientier|
Pakistan|pakistan|
pascal|pascal|
Persia|persien|
parish|pfarrei|
physical|physischem|
planning|planung|
Prussia|Preußens|
rehearse|proben|
programs|programme|
public|public|
Papal|päpstliche|
quartet|quartett|
space|raume|
React|reagier|
Reformation|Reformation|
reporte|reporte|
rings|ringe|
rolls|rollt|
reprimand|rüge|
sabich|sabich|
ointment|salbe|
salzburg|salzburg|
sands|sanden|
shank|schaft|
Scheldt|schelde|
Pain|schmerzes|
crashing|schmettere|
desks|schreibtische|
skulls|schädeln|
Peer to peer|seinesgleichen|
Serb|serbe|
declining|sinkende|
Slovak|Slowake|
Speaking|Sprachraum|
saying|spruch|
Polity|Staatswesen|
locations|standorte|
steal|stehle|
stiles|stiles|
tight|straff|
warriors|streitern|
groan|stöhne|
Symptoms|symptome|
scenarios|szenarien|
tad|tad|
scene of the crime|tatort|
appeared|tauchten|
Participants|Teilnehmern|
Carpets|teppiche|
theaters|theatern|
therapy|therapie|
lowest|tiefste|
meeting place|treffpunkt|
dances|tänzen|
umgehst|umgehst|
bypassed|umging|
look around|umsehe|
underworld|unterwelt|
author|urheber|
will destroy|vertilge|
vii|vii|
preference|vorzug|
blows|weht|
cry|weinst|
World Council|weltrat|
race|wettlauf|
smudge|wisch|
wonder|wundere|
consciously|wusst|
tore|zerriss|
present|zugegen|
feel like|zumute|
teamed up|zusammengetan|
forestalled|zuvorkam|
two|zweige|
modified|abgewandelt|
absterbe|absterbe|
amüsierst|amüsierst|
worshiped|angebetet|
pending|anhängig|
accuse|anklagen|
view|anzuzeigen|
breathe|atme|
set off|aufbrach|
enlighten|aufkläre|
aufpasse|aufpasse|
baggy|ausgebeult|
dying out|aussterbe|
influenced|beeinflusst|
desiring|begehrende|
bekümmerst|bekümmerst|
Summon|beschwörst|
mourn|betraure|
brotherly|brüderlich|
Carnby|carnby|
cedric|cedric|
belonging to|dazugehörig|
disciplines|disziplinen|
by cutting|durchschneide|
stubbornness|eigensinn|
been bombarded with|eingestürmt|
crept|einschlich|
flee|entfliehe|
reveal|enthülle|
renounce|entsagst|
dispose|entsorge|
Epilogue|Epilog|
epic|episch|
extort|erpresse|
created|erschaffene|
opened up|erschloss|
ertappst|ertappst|
erwill|erwill|
explosive|explosiv|
would progress|fortschreite|
friendliness|freundlichkeit|
piety|frömmigkeit|
customs|gebräuchen|
damped|gedämpft|
the found|gefundenem|
looped|geschleift|
blown up|gesprengt|
poison gas|giftgas|
greenish|grünliche|
Semi-long|halblang|
Harrah|harrah|
condescending|herablasse|
outstanding|herausrage|
go out|hinausgehe|
Hindenburg|Hindenburg|
hinfahre|hinfahre|
Add to this|hinzunehme|
huldigst|huldigst|
crater|krater|
cooler|kühler|
lautering|läuterns|
manueii|manueii|
mummy|mumie|
muse|muse|
musician|musikant|
Coats|mäntel|
afterimage|nachbilde|
to imitate|nachzuahmen|
pavement|pflaster|
polierst|polierst|
rob|rauben|
realistic|realistisch|
risking|riskierst|
sacral|sakral|
melt|schmelze|
chatter|schwatze|
sensitive|sensible|
emeralds|smaragdes|
walk|spaziert|
Territory|Staatsgebiet|
Stretch your|streckst|
piece|stücks|
tactical|taktisch|
tonearm|tonarm|
tragedy|trauerspiel|
overturned|umgeworfen|
umhüllst|umhüllst|
radius|umkreises|
insensitive|unempfindlich|
universal|universale|
irregularly|unregelmäßig|
outrageous|unverschämt|
marginally|unwesentlich|
urn|urne|
wasting|vergeude|
entice|verlocke|
sank|versank|
swallow|verschlinge|
conspire|verschwöre|
vertagst|vertagst|
amazement|verwunde|
intended|vorgehabt|
reproach|vorhalten|
stocks|vorräte|
away|weggeführt|
leave out|weglasse|
pioneering|wegweisend|
withered|welk|
unruly|widerspenstig|
resistant|widerstandsfähig|
charitable|wohltätig|
go|zugehen|
demolition|abbruch|
departments|abteilungen|
leave|abzug|
africa|afrikas|
old town|altstadt|
employer|arbeitgeber|
stock market|börse|
of those|derer|
detail|detail|
details|details|
document|dokument|
print|drucken|
england|englands|
fat|fett|
finances|finanzen|
fish|fisch|
flag|flagge|
photo|foto|
site|gelände|
siblings|geschwistern|
grain|getreide|
cock|hahn|
raises|hebt|
hot|heiß|
up|herauf|
in turn|ihrerseits|
inc|inc|
owner|inhaber|
to what extent|inwieweit|
kindergarten|kindergarten|
context|kontext|
food|lebensmittel|
license|lizenz|
lothar|lothar|
masses|massen|
networks|netze|
top layer|oberschicht|
Easter|ostern|
Peru|peru|
plans|plant|
prose|prosa|
most|reichste|
shoots|schießt|
as such|schlechthin|
narrow|schmal|
senate|senats|
steel|stahl|
stepmother|stiefmutter|
shock|stoß|
during the day|tagsüber|
trend|trend|
to look|umzusehen|
recently|unlängst|
discrepancies|unstimmigkeiten|
Vatican|vatikan|
more|weiterer|
weather|wetters|
reconstruction|wiederaufbau|
living room|wohnzimmer|
that|wonach|
words|wörter|
two and a half|zweieinhalb|
basal|basalem|
Castalia|Kastaliens|
rodele|rodele|
arbitrating|schlichtend|
verblühe|verblühe|
verrenke|verrenke|
On Game|aufspiele|
one towers|einstürme|
serious|ernstlich|
Horcrux|horkrux|
on sleep|überschlafe|
break off|abbreche|
fall|abfallen|
to agreement|abspreche|
Allah|allah|
commonplace|alltäglich|
analog|analogem|
Beginner|Anfängerin|
fish|angeln|
angibst|angibst|
salutation|anrede|
connection|anschluß|
considerable|ansehnliche|
attracted|anzog|
argon|argons|
Argus|Argus|
association|assoziation|
which has|aufweise|
up|aufwärts|
merciful|barmherzig|
oppressing|bedränge|
persistent|beharrlich|
affirm|bejahe|
illuminating|beleuchte|
remarkable|bemerkenswerte|
mountaineering|bergsteige|
nature|beschaffenheit|
beschaffst|beschaffst|
recollect|besinnst|
beteuerst|beteuerst|
stands the test|bewähre|
bind|bind|
pale|blass|
pale|bleich|
bummele|bummele|
bearded|bärtig|
datierst|datierst|
deportiere|deportiere|
dialectic|dialektik|
dotierst|dotierst|
tolerate|dulde|
by breaking|durchbreche|
get through|durchkomme|
look through|durchsehe|
dawns|dämmert|
selfish|egoistisch|
Self-will|eigenwille|
eingrabe|eingrabe|
eintausche|eintausche|
objection|einwandes|
icy|eisig|
entartens|entartens|
decapitate|enthaupte|
entzweist|entzweist|
vomit|erbreche|
conceived|erdacht|
inconclusive|ergebnislos|
sounding|erklinge|
explaining|erklärens|
Revive|erquicke|
amazing|erstaunliches|
eskalierst|eskalierst|
Fittes|fittes|
fälschst|fälschst|
give|geb|
counterattack|gegenangriff|
successful|geglückt|
piercing|gellend|
business leaders|geschäftsführend|
stink|gestank|
watched|gewacht|
ordinary|gewöhnliches|
approve|gutheiße|
glove|handschuh|
hau|hau|
helmets|helme|
helpless|hilfloses|
to give|hinzugebe|
intimate|intim|
Virgo|jungfrau|
Emperors|Kaisern|
cook|kochen|
scratch|kratzer|
Declaration of war|kriegserklärung|
lavender|lavendel|
for life|lebenslänglich|
PROVIDING|lieferst|
Diversity|Mannigfaltigkeit|
massaging|massierst|
rent|mieten|
mild|mild|
misusing|missbrauchst|
missionierst|missionierst|
unfortunate|misslich|
mitbegründe|mitbegründe|
taken|mitgenommen|
idle|müßig|
imitate|nachahme|
resign|niederzulegen|
original|originell|
burst|platzen|
Protestant|protestantisch|
representative|repräsentativ|
Schleimer|schleimer|
schmarotze|schmarotze|
Swabian|schwäbische|
sentiment|sentiment|
Serve|serviere|
sigh|seufzt|
sherif|sherif|
soft|softem|
claims|sprüche|
stop|stoppen|
gradually|stufenweise|
phone|telefonisch|
torso|torso|
mourn|trauern|
intoxicated|trunkene|
paraphrased|umschrieb|
uncertain|ungewiss|
universe|universe|
vegetation|vegetation|
processing|verarbeite|
pretending|verstellst|
segment passing|verstreiche|
virgil|virgil|
vorführst|vorführst|
ence in|wegbereich|
viniculture|weinbau|
werewolf|werwolf|
wonderful|wunderbares|
zerlegst|zerlegst|
tear|zerreiße|
silly|zickig|
zugreife|zugreife|
zustelle|zustelle|
ignite|zünden|
annoying|ärgerlich|
Azkaban|askaban|
barber|barber|
by travels|durchreist|
flourished|geblüht|
resigned|resigniere|
image|abbild|
live out|ableben|
distracted|ablenke|
depose|absetze|
graduate|absolvent|
absteche|absteche|
strip off|abstreife|
address|adresse|
aid|aid|
actor|akteur|
albano|albano|
albino|albino|
age|altern|
ambition|ambition|
americans|amerikanern|
amsterdam|amsterdam|
anpacke|anpacke|
adaptive|anpasse|
ansammle|ansammle|
are|are|
bad|arg|
Arms|arms|
eye|auges|
interpret|auslege|
statement|ausspruch|
by heart|auswendig|
platform|bahnsteig|
Basel|Basler|
belly|bauch|
quakes|bebt|
Belgrade|belgrad|
Bernd|Bernd|
visitors|besuchern|
review|bewerte|
bee|biene|
heyday|blütezeit|
Bust|Brustbild|
Jack|bube|
bull|bulle|
federal court|bundesgericht|
volume|bändige|
Ally|Bündnispartner|
guarantor|bürge|
calais|calais|
champion|champion|
, character|charakters|
editor in chief|chefredakteur|
choir|chor|
Chromium|chroms|
collie|collie|
comic|comic|
devine|devine|
Monarchy|Donaumonarchie|
chou|dschou|
Dürer|Dürer|
dips|einbrüche|
revenue|einnahmen|
entries|einträge|
moved|einzog|
ince|eit|
emancipation|emanzipation|
British|engländern|
grandchildren|enkeln|
hijacked|entführ|
inherits|erbt|
rejoice|erfreue|
recognizable|erkenn|
explore|erkunde|
achieved|erziele|
ese|ese|
owl|eule|
extreme|extrem|
fabian|fabian|
specialists|fachleute|
procedure|fahrens|
family member|familienmitglied|
flyer|flieger|
airline|fluggesellschaft|
river|flusse|
fon|fon|
gas|gas|
hospitality|gastfreundschaft|
crook|gauner|
territory require|gebietes|
fallen|gefallenem|
geistre|geistre|
clotted|gerann|
directed|gerichtetem|
cruelty|grausamkeit|
guido|guido|
guests|gästen|
half-brother|halbbruder|
manual|handbuch|
haufe|haufe|
main reason|hauptgrund|
general problem|hauptproblem|
heidelberg|heidelberg|
home|heim|
heroism|heldentum|
shell|hülle|
guardian|hüter|
imperil|imperii|
into each other|ineinander|
authority|instanz|
interpretation|interpretation|
invasion|invasion|
ira|ira|
jacques|jacques|
dump|kaff|
hood|kapuze|
guy|kerl|
Kiev|kiew|
classmate|klassenkamerad|
commander|kommandant|
denomination|konfession|
constitution|konstitution|
contacts|kontakte|
grain|korn|
cruisers|kreuzern|
crawl|kriechst|
state of war|kriegszustand|
cultures|kulturen|
cultural history|kulturgeschichte|
courses|kursen|
could|könntest|
District Court|Landgericht|
State election|Landtagswahl|
read|lies|
praises|lobt|
logic|logik|
noise|lärm|
Wages|löhne|
magdalena|magdalena|
marino|marino|
maxim|maxim|
maximilian|maximilian|
standards|maßstäbe|
championship|meisterschaft|
mentality|mentalität|
expression|miene|
minus|minus|
fashion|mode|
models|modellen|
monika|monika|
shell|muschel|
Muslim|muslim|
pattern pupil|musterschüler|
miller|müller|
think|nachzudenken|
nationalist|nationalist|
Neck|neck|
nestle|nestle|
nineteen|neunzehn|
ninety|neunzig|
Election|Neuwahl|
nicolai|nicolai|
lower|niedrigerem|
Niger|niger|
niche|nische|
north|nord|
North|nordens|
Northwest|nordwesten|
use|nutzung|
benefits|nützt|
Upper|ober|
olive|oliv|
organizer|organisator|
range|palette|
bad luck|pech|
picard|picard|
pilgrim|pilger|
pistoie|pistoie|
potential|potential|
sample|probe|
producer|produzent|
profile|profile|
mercury|quecksilber|
notch|raste|
town hall|rathaus|
Regensburg|Regensburg|
purest|reinstem|
rip|reiße|
run|renne|
report|report|
Rhineland|Rheinland|
advised|riet|
Rostock|rostock|
sacraments|sakramente|
sarajevo|sarajevo|
satellite|satellit|
satins|satins|
vagina|scheide|
transparent world|scheinwelt|
melted|schmolz|
schneck|schneck|
tail|schweif|
swear|schwörst|
sector|sektor|
bliss|seligkeit|
wins|siegt|
Scandinavia|skandinavien|
Socrates|sokrates|
sunset|sonnenuntergang|
speaking|spräche|
at the latest|spätestens|
statesman|staatsmann|
statute|statut|
stephan|stephan|
stands|sticht|
schedule|stundenplan|
site|stätte|
dancers|tänzerinnen|
pots|töpfe|
under take|unternehmt|
Utopia|utopia|
verfehl|verfehl|
verliehenem|verliehenem|
betroth|verlobe|
word|vokabel|
