quizGroup type="WordMapping" promptType="German word" responseType="English word" mainSeparator="|" currentPromptNumber="0" isActive="true"
zusammenhing|was related|
zuwachs|growth|
zwilling|twin|
öde|barren|
überaus|extremely|
übertreib|exaggerate|
üppig|lush|
hagrid|hagrid|
riddle|riddle|
abzeichne|abzeichne|
anrichte|sideboard|
anschicke|was preparing|
anstimme|tune a|
anstrenge|an effort|
arkadi|Arcadian|
auferstehe|resurrect|
aufgelegen|put up|
aufkreuze|aufkreuze|
aufschaue|look up|
ausraube|ausraube|
auswähle|SELECTING|
baldig|speedy|
beschoss|shelled|
besteige|climb|
blechen|cough up|
dickere|thicker|
dreifach|three times|
durchsage|announcement|
einflöße|inspire in|
einreist|enters|
einschüchternd|intimidating|
einstehe|once before|
entgegenkam|entgegenkam|
erbost|infuriated|
erotischem|erotic|
falter|butterfly|
first|ridge|
formeln|formulas|
fortgehe|go away|
funkelnd|sparkling|
fädele|fädele|
geformt|shaped|
geistreiche|Witty|
genial|ingenious|
genoß|enjoyed|
grauenhaft|terrible|
grünst|greenest|
gönnend|gönnend|
hangele|hangele|
heitern|cheerful|
hineingerate|into appliances|
hochmut|pride|
kessem|breezy|
knöchel|ankle|
kobolde|goblins|
kopflos|headless|
krankhaft|pathological|
lehrling|apprentice|
losmache|losmache|
maschinengewehr|machine gun|
meuterin|meuterin|
michelangelo|michelangelo|
minerva|minerva|
mütze|cap|
nachstelle|nachstelle|
nutzlos|useless|
närrischem|närrischem|
offline|offline|
ohrfeige|box on the ears|
relikt|relic|
runder|round|
rückständigem|residual|
rütteln|shake|
scheußliche|nasty|
schlaufe|loop|
schlinge|loop|
schnuppern|sniff|
sechseck|hexagon|
solide|solid|
spekuliere|speculate|
spielerei|gimmick|
sprudeln|bubble|
unentwegt|constant|
unerbittlich|inexorably|
unzweifelhaft|undoubted|
verbeugst|verbeugst|
vergewissere|make sure|
verkommende|degenerate|
verschlaft|verschlaft|
vollbringe|fully bring|
wehmütigem|wistful|
weiterreise|more travel|
widriger|adverse|
zeitgemäß|contemporary|
zerbrechlichem|fragile|
zurückbekomme|get back|
zurückschicke|send back|
zusammenwirke|WOULD together|
überzeugendem|convincing|
abgeordneter|Seconded|
ann|ann|
annahmen|assumptions|
arbeitern|employees|
Arbeitsmarkt|Labor market|
ausdrucksweise|mode of expression|
begleitung|accompaniment|
brecht|break|
bürgermeister|mayor|
dialog|dialogue|
dreizehn|thirteen|
energie|energy|
entwürfe|designs|
erstelle|create|
erzähler|narrator|
fan|fan|
fenstern|windows|
flecke|stains|
frist|period|
garant|guarantor|
gelacht|laugh|
gewinnt|winning|
grafik|graphic|
halbwegs|halfway|
heiden|heiden|
heil|safely|
herüber|over|
holla|holla|
holocaust|holocaust|
humor|humor|
hunde|dogs|
integration|integration|
jesuiten|Jesuit|
kaiserin|empress|
keinesfalls|under no circumstances|
kindes|child|
klarheit|clarity|
kurie|curia|
lehrbuch|textbook|
lesung|reading|
machs|machs|
materials|materials|
messe|fair|
mittags|at midday|
mitternacht|midnight|
mitunter|sometimes|
münchner|munich|
nachhinein|retrospect|
nah|close|
normal|normal|
note|grade|
onkel|uncle|
onkeln|uncles|
opfers|victim|
park|park|
Pathos|Pathos|
peinlich|embarrassing|
pest|plague|
plattform|platform|
poesie|poetry|
porträt|portrait|
quasi|virtually|
radio|radio|
rettung|rescue|
rosa|pink|
schande|shame|
schiedsrichter|referee|
Schwabe|Swabian|
schwefel|sulfur|
siegfried|siegfried|
stehengeblieben|stopped|
strophe|verse|
sturm|storm|
süd|south|
terror|terror|
toter|dead|
tricia|tricia|
tötung|killing|
udo|udo|
umfeld|surroundings|
umsonst|free|
unterzeichnung|signing|
vornherein|a priori|
ware|commodity|
warnt|warns|
währenddessen|meanwhile|
zugute|benefit|
zwischenfall|incident|
übers|over|
Waldzell|Waldzell|
Alchimist|Alchemist|
abenteurer|adventurer|
abgekommen|strayed|
abgelaufen|expired|
abgeschlagen|cut off|
abgesetzt|discontinued|
abgesondert|isolated|
abgewandt|away|
abgrundtief|abysmal|
abholst|abholst|
abrupt|abrupt|
abschüttele|abschüttele|
abstatte|pay her|
abweise|dismisses|
akte|file|
alledem|all this|
allgegenwärtig|ubiquitous|
amazon|amazon|
andalusien|andalucia|
angebunden|tethered|
angemeldet|logged|
angetroffen|found|
anmaßt|arrogates|
anmerke|anmerke|
ansiehst|look at|
antwerpen|Antwerp|
anziehst|put on|
anzuhören|to listen|
anzweifele|disputing|
arbeitsloser|unemployed|
armenien|Armenia|
asche|ash|
aufgebraucht|depleted|
aufgefunden|found|
aufgerissen|torn|
aufgerufen|called|
aufgetreten|occurred|
aufhorche|shall hear,|
aufhält|resident|
aufräume|clean up|
aufwecke|awaken|
aufzeige|aufzeige|
ausgebrochen|broken|
ausgelöscht|extinguished|
ausgestellt|displayed|
ausgetauscht|replaced|
ausgezahlt|paid|
auskoste|auskoste|
auslache|laugh at|
ausmass|extent|
ausruf|exclamation|
austrien|Austrasia|
basilika|basilica|
bedauernswert|deplorable|
bedecke|, cover|
beigesetzt|buried|
beispielhaft|exemplary|
beiwohne|should attend|
belange|concerns|
belehre|teach|
bengel|kid|
benimm|behave|
berauschst|berauschst|
bereitgestellt|provided|
beruflichem|professional|
beruhe|is based|
beschütz|beschütz|
besserwissens|better knowledge|
betrüge|fraudulent|
bewirf|bewirf|
billion|trillion|
bisse|bites|
bißchen|little|
blanco|blanco|
blickend|Looking|
blutrot|blood-red|
Bodensee|Lake Constance|
brasilianisch|Brazilian|
bösewicht|villain|
center|center|
charme|charm|
dekadenz|decadence|
distanzen|distances|
dreizehnjährig|thirteen|
durchbrochen|open|
durchstoße|pierce|
edelstem|the finest|
edition|edition|
effizient|efficient|
ehefrau|wife|
eigentum|property|
Einflusse|Influence|
eingebracht|introduced|
eingebrochen|broken|
eingeschlafen|asleep|
eingewickelt|wrapped|
einleuchten|be clear|
einräume|grants|
einwände|objection|
elfen|elf|
elsa|elsa|
elternhaus|parents' house|
entgegenstehe|precludes|
entscheidendere|more decisive|
entwirf|entwirf|
erklimme|climb up|
erlittenem|erlittenem|
erwachsener|adult|
erwärmst|erwärmst|
erzeuge|create|
exerziere|exerziere|
favorit|favorite|
fertiggestellt|completed|
fessel|ankle|
fettig|greasy|
finnland|Finland|
flughafen|airport|
freiern|freer|
freigebe|releasing|
freimache|free do|
fremdartig|strange|
früchten|fruits|
fällig|due|
gackere|gackere|
gallig|bilious|
gedemütigt|humiliated|
gedenkt|commemorates|
geduldest|geduldest|
gefertigt|made|
geflogen|flown|
gefreut|happy|
gefärbt|dyed|
gefühlt|felt|
gegebener|given|
gegenüberstehe|confront|
geglättet|smoothed|
gehindert|prevented|
gelöscht|deleted|
gemietet|hired|
geologe|geologist|
georgi|Georgia|
gerichtshof|Court of Justice|
geschmiedet|Forged|
gespalten|split|
gesäubert|cleaned|
gewahrt|maintained|
gezögert|delayed|
gleichwohl|nevertheless|
gleite|slip|
glühende|glowing|
got|Got|
Großmächte|Great Powers|
grundgesetzes|basic Act|
gutachten|report|
haft|detention|
haften|adhere|
harz|resin|
hauptsache|the main thing|
hefte|booklets|
hegen|entertain|
heilende|healing|
heimgesucht|haunted|
heraufbeschwor|conjured up|
herausfinde|find out|
hergebracht|brought|
hilfreich|helpful|
hinauszögere|hinauszögere|
hineingezogen|drawn|
hineinstecke|put into|
hingewiesen|pointed|
hintergehe|go back|
hinzufüge|add|
inoffiziell|unofficially|
interviews|interviews|
jahrhundertelang|for centuries|
jahrzehntelang|decades|
kampfes|combative|
Karlsruhe|Karlsruhe|
kerze|candle|
kitzeln|tickle|
klapperig|klapperig|
kleide|Dress|
kläre|clarify|
kontinentale|continental|
kontinente|continents|
kontrollen|controls|
konvent|convention|
korrekturen|corrections|
krauss|krauss|
kriseln|kriseln|
kränkst|kränkst|
kästchen|box|
körpern|bodies|
laboratorien|laboratories|
lampe|lamp|
landkarte|map|
lauert|lurks|
laß|let|
lebensläufe|Resumes|
lichtern|lights|
liest|reads|
lobende|Honorable|
lodere|Blaze|
lung|development|
makellos|flawless|
marian|marian|
mathias|mathias|
medaillon|medallion|
media|media|
medikament|drug|
mehrjährig|perennial|
meistere|mastering|
merklich|noticeably|
messias|Messiah|
mitbringe|bring with|
mohr|mohr|
momente|moments|
monatelang|for months|
morgige|Tomorrow|
muttersprache|mother tongue|
nachgeahmt|imitated|
nachzeichne|nachzeichne|
namhaft|designated|
Nationalsozialismus|National Socialism|
negro|negro|
neptun|Neptune|
neulich|recently|
niederschlag|precipitation|
niederträchtig|mean|
nimm|take|
norman|Norman|
norwegisch|Norwegian|
Nürnberg|Nuremberg|
nütze|profitable|
opponiere|opponiere|
ostpreuße|East Prussian|
partie|game|
parton|parton|
passion|passion|
pforte|gate|
philosophierst|philosophierst|
pins|pins|
plastik|plastic|
platt|flat|
pole|Pole|
promis|celebrities|
Protektor|Protector|
putz|plaster|
quäler|tormentor|
raffst|raffst|
rase|rase|
ratte|rat|
reinige|clean|
reit|riding|
reserven|reserves|
respektlos|disrespectful|
rivale|rival|
rohr|pipe|
route|route|
ruin|ruin|
ränder|edges|
rückfall|relapse|
sacht|gently|
salier|Salier|
salzig|salty|
schachspiel|chess game|
schamhaar|pubic hair|
schaudern|shudder|
schiffern|mariners|
schlachtfeld|battlefield|
schleift|grinds|
schoss|shot|
schwirrst|schwirrst|
schwoll|swelled|
schwur|oath|
schätzungen|estimates|
schöpferin|creator|
sehn|see|
seicht|shallow|
server|server|
sichergestellt|ensure|
Slowene|Slovene|
smaria|smaria|
social|social|
spanisch|Spanish|
spit|spit|
spitzname|nickname|
sportart|sport|
spot|commercial|
stammte|came|
staude|shrub|
stecke|put|
struktur|structure|
stürmisch|stormy|
sumpf|swamp|
syrisch|Syrian|
sümpfe|Marshes|
sünden|sins|
tagein|day out|
teilgenommen|participated|
tempo|pace|
teuer|expensive|
theatralisch|theatrical|
tiberias|tiberias|
tische|tables|
titan|titanium|
tobt|rages|
tropez|tropez|
tröstens|comforting|
trübst|trübst|
umgekommen|killed|
umschlag|envelope|
unabsichtlich|unintentionally|
unaufhörlich|unceasingly|
unbestritten|undisputed|
ungeheuer|enormously|
unleidig|bothersome|
unmenschlich|inhuman|
untere|lower|
unterging|Ran|
untergrabe|undermines|
unterlaß|ceasing|
unterschreib|be signed|
unterstreiche|underline|
untertauche|submerging|
urban|urban|
variante|variant|
verachtest|despise|
verbiet|forbid|
verbrenn|burn|
vergleichst|compare|
verkündigst|verkündigst|
verschlüsselns|encrypting|
verselbstständige|verselbstständige|
versinke|sinking|
verstrich|passed|
versäume|neglect|
vertretet|vertretet|
verzeih|Forgive|
verzerrst|verzerrst|
verzog|a wry|
verzückst|verzückst|
viertelstunde|quarter of an hour|
vorangehe|go ahead|
vorführe|bring before|
vorgebe|predetermining|
vorkam|seemed|
vorstellbar|conceivable|
wacht|wake up|
wagnis|venture|
weggelassen|omitted|
weggezogen|moved away|
wegschicke|reasonably chicke|
weihnachtsball|Christmas ball|
wettmache|make up for|
wiedererkenne|again recognize|
wiedergegeben|reproduced|
wirkende|acting|
wissenschaftlerin|scientist|
wohlfühle|feel comfortable|
wohnort|place of residence|
wortlos|silent|
wölbst|wölbst|
zaubert|conjures up|
zerfetzt|lacerated|
zerfiel|disintegrated|
zerfresse|zerfresse|
zerknirscht|contrite|
ziemlichem|ziemlichem|
zuckst|twitch|
zueinander|to each other|
Zugehörigkeit|Affiliation|
zugelassen|authorized|
zugenommen|increased|
zugesichert|assured|
zugriff|access|
zugänge|Additions|
zurückgeführt|recycled|
zurückgegeben|returned|
zurückgehalten|retained|
zurückgenommen|withdrawn|
zurückgewiesen|rejected|
zurückgeworfen|thrown back|
zurückstehe|stand back|
zusage|commitment|
zusammengetreten|met|
zuschicke|zuschicke|
zweitgrößte|second largest|
zweiundzwanzig|twenty-two|
überlauf|overflow|
abwandele|abwandele|
ginny|ginny|
neville|neville|
Unterkleid|Petticoat|
vereinsamen|become lonely|
achseln|shoulders|
Alchimie|Alchemy|
anfreunden|befriend|
angespannt|tense|
angleiche|monoexponential|
anhöhe|hill|
anzugehen|address|
auffällig|conspicuous|
aufgebläht|bloated|
aufgeweckt|alert|
aufschlagen|open|
ausgesucht|selected|
begleiche|will settle|
begnadet|blessed|
beispiellos|unprecedented|
bemitleidenswert|pitiful|
beschneide|prune|
bewirtens|bewirtens|
blätterst|blätterst|
Bundeswehr|Bundeswehr|
derb|coarse|
dreiecke|Triangles|
duellieren|duel|
dürrer|skinny|
entspringe|springs from|
erbeben|shake|
erhabenes|sublime|
erlegst|erlegst|
ersehnst|crave|
farbig|colored|
fassungslos|stunned|
faulst|faulst|
fesselns|bondage|
gebeichtet|confession|
gefälle|gradient|
gerechtfertigt|justified|
geschüttelt|shaken|
Gewächs|Plant|
graust|shudder|
herausgehe|go out|
hilfsbereit|helpful|
hineinsehe|look into it|
illustrierst|illustrierst|
intrigant|scheming|
karras|karras|
kompetent|competently|
konföderal|confederal|
krempe|brim|
legale|legal|
machtlos|powerless|
mancherlei|many|
mekka|Mecca|
mitgefühl|compassion|
mitnehme|take with|
nachsehe|nachsehe|
Niedersachsen|Lower Saxony|
penetrant|penetrating|
prominenter|prominent|
pusteln|bump up|
reviers|district|
revoltieren|revolt|
ritterin|Knight|
rituell|ritual|
runzeln|pucker|
sanftere|gentler|
schmelzes|enamel|
schutzlos|unprotected|
sesshaft|settled|
standhaft|steadfast|
stemmen|lift|
sächsische|Saxon|
sähe|would look|
teilhabt|some have|
ultimatum|ultimatum|
umbringe|kill|
unangebracht|inappropriate|
unbedacht|thoughtless|
unbekümmert|unconcerned|
unbeschränkt|unlimited|
unbewacht|unguarded|
ungedeckt|uncovered|
uninteressant|uninteresting|
unvorteilhaft|unfavorable|
vergelte|reward|
vergeudern|vergeudern|
verhältnismäßig|relatively|
verirrst|get lost|
vermesse|TO MEASURE|
verräterin|traitor|
verschlafe|oversleep|
verschoss|verschoss|
verwahre|protest|
vierteilen|quartered|
volks|people|
vorgegeben|set|
vorhersagen|predict|
vorziehe|prefer|
wehend|blowing|
wiederkehrende|recurring|
wollüste|licentiousness|
zeitig|early|
zeitloch|time hole|
zerschlag|smash|
zitterst|tremble|
zoll|Customs|
zuhörst|listen|
zurechtweise|rebuke|
zurückgelegen|back in its|
zusammengefügt|together|
überbringe|bring about|
überlud|Supercharged|
lupin|lupine|
phönizien|Phoenicia|
scheißen|shit|
turu|turu|
absage|cancellation|
abschrift|copy|
allerwenigste|allerwenigste|
ammoniak|ammonia|
amulett|amulet|
anekdote|anecdote|
ansporn|incentive|
anwende|applying|
architekt|architect|
assyrer|Assyrian|
aufhebe|canceling|
aufnimmst|absorb|
aufseht|aufseht|
ausrüstung|equipment|
bankrott|bankrupt|
bedrohe|threatening|
befasse|deal|
belauft|belauft|
berechtigung|entitlement|
betrog|cheating|
blendendem|blinding|
brav|good|
carl|carl|
charaktere|characters|
dach|roof|
datteln|datteln|
dienern|bow and scrape|
dokumentes|document|
dorfes|village|
dos|DOS|
due|due|
durst|thirst|
dürr|dry|
effekt|effect|
eidechse|lizard|
eimer|bucket|
entsinne|remember|
erfaßt|detected|
erfundenem|fictitious|
ergoss|poured|
ermorde|murder|
ernenne|appoint|
ernähre|feeding|
erwärme|warm it|
fahne|flag|
fahrzeuge|vehicles|
faktes|faktes|
fat|fat|
fernsehsender|TV station|
fließendem|running|
flugzeit|flight time|
flut|flood|
fraß|food|
frier|freezing|
fängst|catch|
gefangener|caught|
gefährdung|endangering|
gegenzug|return|
gehofft|hoped|
gehsteig|sidewalk|
geschert|sheared|
geschick|skill|
gewöhn|ordinary|
gottesdienste|church services|
grabstein|grave stone|
graden|degrees|
grau|gray|
gryffindor|gryffindor|
güte|goodness|
haß|hatred|
heldin|heroine|
henkeln|Handles|
huber|huber|
intern|internal|
intervention|intervention|
irren|be wrong|
jahrestag|anniversary|
Kaisertum|Empire|
keime|germs|
kleidern|dresses|
korridor|corridor|
käfer|beetle|
labyrinth|maze|
landhaus|country house|
landwirt|farmer|
landwirtschaft|agriculture|
laster|vice|
leidens|Suffering|
leiterin|leader|
lieder|songs|
läufe|workflows|
lösch|delete|
mannheim|Mannheim|
manuskript|manuscript|
margaret|margaret|
markt|market|
massaker|massacre|
mechanik|mechanics|
metropole|metropolis|
mütter|mothers|
mütterlich|maternal|
nachbarin|neighbor|
nachträge|complements are|
napoleonische|Napoleonic|
nähre|nurturing|
orakel|oracle|
orientier|orientable|
pakistan|Pakistan|
pascal|pascal|
persien|Persia|
pfarrei|parish|
physischem|physical|
planung|planning|
Preußens|Prussia|
proben|rehearse|
programme|programs|
public|public|
päpstliche|Papal|
quartett|quartet|
raume|space|
reagier|React|
Reformation|Reformation|
reporte|reporte|
ringe|rings|
rollt|rolls|
rüge|reprimand|
sabich|sabich|
salbe|ointment|
salzburg|salzburg|
sanden|sands|
schaft|shank|
schelde|Scheldt|
schmerzes|Pain|
schmettere|crashing|
schreibtische|desks|
schädeln|skulls|
seinesgleichen|Peer to peer|
serbe|Serb|
sinkende|declining|
Slowake|Slovak|
Sprachraum|Speaking|
spruch|saying|
Staatswesen|Polity|
standorte|locations|
stehle|steal|
stiles|stiles|
straff|tight|
streitern|warriors|
stöhne|groan|
symptome|Symptoms|
szenarien|scenarios|
tad|tad|
tatort|scene of the crime|
tauchten|appeared|
Teilnehmern|Participants|
teppiche|Carpets|
theatern|theaters|
therapie|therapy|
tiefste|lowest|
treffpunkt|meeting place|
tänzen|dances|
umgehst|umgehst|
umging|bypassed|
umsehe|look around|
unterwelt|underworld|
urheber|author|
vertilge|will destroy|
vii|vii|
vorzug|preference|
weht|blows|
weinst|cry|
weltrat|World Council|
wettlauf|race|
wisch|smudge|
wundere|wonder|
wusst|consciously|
zerriss|tore|
zugegen|present|
zumute|feel like|
zusammengetan|teamed up|
zuvorkam|forestalled|
zweige|two|
abgewandelt|modified|
absterbe|absterbe|
amüsierst|amüsierst|
angebetet|worshiped|
anhängig|pending|
anklagen|accuse|
anzuzeigen|view|
atme|breathe|
aufbrach|set off|
aufkläre|enlighten|
aufpasse|aufpasse|
ausgebeult|baggy|
aussterbe|dying out|
beeinflusst|influenced|
begehrende|desiring|
bekümmerst|bekümmerst|
beschwörst|Summon|
betraure|mourn|
brüderlich|brotherly|
carnby|Carnby|
cedric|cedric|
dazugehörig|belonging to|
disziplinen|disciplines|
durchschneide|by cutting|
eigensinn|stubbornness|
eingestürmt|been bombarded with|
einschlich|crept|
entfliehe|flee|
enthülle|reveal|
entsagst|renounce|
entsorge|dispose|
Epilog|Epilogue|
episch|epic|
erpresse|extort|
erschaffene|created|
erschloss|opened up|
ertappst|ertappst|
erwill|erwill|
explosiv|explosive|
fortschreite|would progress|
freundlichkeit|friendliness|
frömmigkeit|piety|
gebräuchen|customs|
gedämpft|damped|
gefundenem|the found|
geschleift|looped|
gesprengt|blown up|
giftgas|poison gas|
grünliche|greenish|
halblang|Semi-long|
harrah|Harrah|
herablasse|condescending|
herausrage|outstanding|
hinausgehe|go out|
Hindenburg|Hindenburg|
hinfahre|hinfahre|
hinzunehme|Add to this|
huldigst|huldigst|
krater|crater|
kühler|cooler|
läuterns|lautering|
manueii|manueii|
mumie|mummy|
muse|muse|
musikant|musician|
mäntel|Coats|
nachbilde|afterimage|
nachzuahmen|to imitate|
pflaster|pavement|
polierst|polierst|
rauben|rob|
realistisch|realistic|
riskierst|risking|
sakral|sacral|
schmelze|melt|
schwatze|chatter|
sensible|sensitive|
smaragdes|emeralds|
spaziert|walk|
Staatsgebiet|Territory|
streckst|Stretch your|
stücks|piece|
taktisch|tactical|
tonarm|tonearm|
trauerspiel|tragedy|
umgeworfen|overturned|
umhüllst|umhüllst|
umkreises|radius|
unempfindlich|insensitive|
universale|universal|
unregelmäßig|irregularly|
unverschämt|outrageous|
unwesentlich|marginally|
urne|urn|
vergeude|wasting|
verlocke|entice|
versank|sank|
verschlinge|swallow|
verschwöre|conspire|
vertagst|vertagst|
verwunde|amazement|
vorgehabt|intended|
vorhalten|reproach|
vorräte|stocks|
weggeführt|away|
weglasse|leave out|
wegweisend|pioneering|
welk|withered|
widerspenstig|unruly|
widerstandsfähig|resistant|
wohltätig|charitable|
zugehen|go|
abbruch|demolition|
abteilungen|departments|
abzug|leave|
afrikas|africa|
altstadt|old town|
arbeitgeber|employer|
börse|stock market|
derer|of those|
detail|detail|
details|details|
dokument|document|
drucken|print|
englands|england|
fett|fat|
finanzen|finances|
fisch|fish|
flagge|flag|
foto|photo|
gelände|site|
geschwistern|siblings|
getreide|grain|
hahn|cock|
hebt|raises|
heiß|hot|
herauf|up|
ihrerseits|in turn|
inc|inc|
inhaber|owner|
inwieweit|to what extent|
kindergarten|kindergarten|
kontext|context|
lebensmittel|food|
lizenz|license|
lothar|lothar|
massen|masses|
netze|networks|
oberschicht|top layer|
ostern|Easter|
peru|Peru|
plant|plans|
prosa|prose|
reichste|most|
schießt|shoots|
schlechthin|as such|
schmal|narrow|
senats|senate|
stahl|steel|
stiefmutter|stepmother|
stoß|shock|
tagsüber|during the day|
trend|trend|
umzusehen|to look|
unlängst|recently|
unstimmigkeiten|discrepancies|
vatikan|Vatican|
weiterer|more|
wetters|weather|
wiederaufbau|reconstruction|
wohnzimmer|living room|
wonach|that|
wörter|words|
zweieinhalb|two and a half|
basalem|basal|
Kastaliens|Castalia|
rodele|rodele|
schlichtend|arbitrating|
verblühe|verblühe|
verrenke|verrenke|
aufspiele|On Game|
einstürme|one towers|
ernstlich|serious|
horkrux|Horcrux|
überschlafe|on sleep|
abbreche|break off|
abfallen|fall|
abspreche|to agreement|
allah|Allah|
alltäglich|commonplace|
analogem|analog|
Anfängerin|Beginner|
angeln|fish|
angibst|angibst|
anrede|salutation|
anschluß|connection|
ansehnliche|considerable|
anzog|attracted|
argons|argon|
Argus|Argus|
assoziation|association|
aufweise|which has|
aufwärts|up|
barmherzig|merciful|
bedränge|oppressing|
beharrlich|persistent|
bejahe|affirm|
beleuchte|illuminating|
bemerkenswerte|remarkable|
bergsteige|mountaineering|
beschaffenheit|nature|
beschaffst|beschaffst|
besinnst|recollect|
beteuerst|beteuerst|
bewähre|stands the test|
bind|bind|
blass|pale|
bleich|pale|
bummele|bummele|
bärtig|bearded|
datierst|datierst|
deportiere|deportiere|
dialektik|dialectic|
dotierst|dotierst|
dulde|tolerate|
durchbreche|by breaking|
durchkomme|get through|
durchsehe|look through|
dämmert|dawns|
egoistisch|selfish|
eigenwille|Self-will|
eingrabe|eingrabe|
eintausche|eintausche|
einwandes|objection|
eisig|icy|
entartens|entartens|
enthaupte|decapitate|
entzweist|entzweist|
erbreche|vomit|
erdacht|conceived|
ergebnislos|inconclusive|
erklinge|sounding|
erklärens|explaining|
erquicke|Revive|
erstaunliches|amazing|
eskalierst|eskalierst|
fittes|Fittes|
fälschst|fälschst|
geb|give|
gegenangriff|counterattack|
geglückt|successful|
gellend|piercing|
geschäftsführend|business leaders|
gestank|stink|
gewacht|watched|
gewöhnliches|ordinary|
gutheiße|approve|
handschuh|glove|
hau|hau|
helme|helmets|
hilfloses|helpless|
hinzugebe|to give|
intim|intimate|
jungfrau|Virgo|
Kaisern|Emperors|
kochen|cook|
kratzer|scratch|
kriegserklärung|Declaration of war|
lavendel|lavender|
lebenslänglich|for life|
lieferst|PROVIDING|
Mannigfaltigkeit|Diversity|
massierst|massaging|
mieten|rent|
mild|mild|
missbrauchst|misusing|
missionierst|missionierst|
misslich|unfortunate|
mitbegründe|mitbegründe|
mitgenommen|taken|
müßig|idle|
nachahme|imitate|
niederzulegen|resign|
originell|original|
platzen|burst|
protestantisch|Protestant|
repräsentativ|representative|
schleimer|Schleimer|
schmarotze|schmarotze|
schwäbische|Swabian|
sentiment|sentiment|
serviere|Serve|
seufzt|sigh|
sherif|sherif|
softem|soft|
sprüche|claims|
stoppen|stop|
stufenweise|gradually|
telefonisch|phone|
torso|torso|
trauern|mourn|
trunkene|intoxicated|
umschrieb|paraphrased|
ungewiss|uncertain|
universe|universe|
vegetation|vegetation|
verarbeite|processing|
verstellst|pretending|
verstreiche|segment passing|
virgil|virgil|
vorführst|vorführst|
wegbereich|ence in|
weinbau|viniculture|
werwolf|werewolf|
wunderbares|wonderful|
zerlegst|zerlegst|
zerreiße|tear|
zickig|silly|
zugreife|zugreife|
zustelle|zustelle|
zünden|ignite|
ärgerlich|annoying|
askaban|Azkaban|
barber|barber|
durchreist|by travels|
geblüht|flourished|
resigniere|resigned|
abbild|image|
ableben|live out|
ablenke|distracted|
absetze|depose|
absolvent|graduate|
absteche|absteche|
abstreife|strip off|
adresse|address|
aid|aid|
akteur|actor|
albano|albano|
albino|albino|
altern|age|
ambition|ambition|
amerikanern|americans|
amsterdam|amsterdam|
anpacke|anpacke|
anpasse|adaptive|
ansammle|ansammle|
are|are|
arg|bad|
arms|Arms|
auges|eye|
auslege|interpret|
ausspruch|statement|
auswendig|by heart|
bahnsteig|platform|
Basler|Basel|
bauch|belly|
bebt|quakes|
belgrad|Belgrade|
Bernd|Bernd|
besuchern|visitors|
bewerte|review|
biene|bee|
blütezeit|heyday|
Brustbild|Bust|
bube|Jack|
bulle|bull|
bundesgericht|federal court|
bändige|volume|
Bündnispartner|Ally|
bürge|guarantor|
calais|calais|
champion|champion|
charakters|, character|
chefredakteur|editor in chief|
chor|choir|
chroms|Chromium|
collie|collie|
comic|comic|
devine|devine|
Donaumonarchie|Monarchy|
dschou|chou|
Dürer|Dürer|
einbrüche|dips|
einnahmen|revenue|
einträge|entries|
einzog|moved|
eit|ince|
emanzipation|emancipation|
engländern|British|
enkeln|grandchildren|
entführ|hijacked|
erbt|inherits|
erfreue|rejoice|
erkenn|recognizable|
erkunde|explore|
erziele|achieved|
ese|ese|
eule|owl|
extrem|extreme|
fabian|fabian|
fachleute|specialists|
fahrens|procedure|
familienmitglied|family member|
flieger|flyer|
fluggesellschaft|airline|
flusse|river|
fon|fon|
gas|gas|
gastfreundschaft|hospitality|
gauner|crook|
gebietes|territory require|
gefallenem|fallen|
geistre|geistre|
gerann|clotted|
gerichtetem|directed|
grausamkeit|cruelty|
guido|guido|
gästen|guests|
halbbruder|half-brother|
handbuch|manual|
haufe|haufe|
hauptgrund|main reason|
hauptproblem|general problem|
heidelberg|heidelberg|
heim|home|
heldentum|heroism|
hülle|shell|
hüter|guardian|
imperii|imperil|
ineinander|into each other|
instanz|authority|
interpretation|interpretation|
invasion|invasion|
ira|ira|
jacques|jacques|
kaff|dump|
kapuze|hood|
kerl|guy|
kiew|Kiev|
klassenkamerad|classmate|
kommandant|commander|
konfession|denomination|
konstitution|constitution|
kontakte|contacts|
korn|grain|
kreuzern|cruisers|
kriechst|crawl|
kriegszustand|state of war|
kulturen|cultures|
kulturgeschichte|cultural history|
kursen|courses|
könntest|could|
Landgericht|District Court|
Landtagswahl|State election|
lies|read|
lobt|praises|
logik|logic|
lärm|noise|
löhne|Wages|
magdalena|magdalena|
marino|marino|
maxim|maxim|
maximilian|maximilian|
maßstäbe|standards|
meisterschaft|championship|
mentalität|mentality|
miene|expression|
minus|minus|
mode|fashion|
modellen|models|
monika|monika|
muschel|shell|
muslim|Muslim|
musterschüler|pattern pupil|
müller|miller|
nachzudenken|think|
nationalist|nationalist|
neck|Neck|
nestle|nestle|
neunzehn|nineteen|
neunzig|ninety|
Neuwahl|Election|
nicolai|nicolai|
niedrigerem|lower|
niger|Niger|
nische|niche|
nord|north|
nordens|North|
nordwesten|Northwest|
nutzung|use|
nützt|benefits|
ober|Upper|
oliv|olive|
organisator|organizer|
palette|range|
pech|bad luck|
picard|picard|
pilger|pilgrim|
pistoie|pistoie|
potential|potential|
probe|sample|
produzent|producer|
profile|profile|
quecksilber|mercury|
raste|notch|
rathaus|town hall|
Regensburg|Regensburg|
