quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
bottle|flasche
flea|floh
promotes|fördert
cleaned|geputzt/gesäubert
noise|geräusche/lärm
companies|gesellschaften
certainty|gewißheit
headquarters|hauptquartier/hauptsitz
lift|stemmen/heben
a hundred|hundertmal
cave|höhle
sometime|irgendwann
abruptly|schlagartig/jäh
annual|jährlichem
cape|kap/umhang
continent|kontinent
frizzy|kraus
cross|kreuz
Crosses|kreuze
lifeless|leblos
luxury|luxus
Landler|ländler
million|mio
remains|reste
avenge|rächst
son-in|schwiegersohn
shrinkage|schwunds
slave|sklave
material|stoff
bell|stürze
baptism|taufe
heir to the throne|thronfolger
separation|trennung
reconstructed|umgebaut
implemented|umgesetzt
continuously|ununterbrochen
immediate|sofortig/unverzüglich
vague|vage
Vases|vasen
sales|verkäufe
pastime|vertreib
fend off|vertreibst
accused of|vorgeworfen
This|vorliegende
foreman|vormann
wax|wachs
passed|verstrich/weitergegeben
Western Europe|westeuropa
scurry|wieseln
inflow|zulauf
poorer|ärmer
remnant|überbleibsel
littered|übersät
oppress|bedrücke
amused|belustige
Federal Office|Bundesamt
tiring|ermüdens
degrade|erniedrige
exigent|gestreng
hollow|hohl
delicious|köstlich/leckere
Naples|neapel
privileged ranking|privilegiere
refine alternating|raffiniere
sheep|schaf/schafen
principal|schulleiter
stare|starrst
apportioned|umgelegt
on list|überliste
haggard|abgehärmt/verhärmt
dismissed|abgetan
denied|stritt/absprach/bestritt
worshiping|anbetens
Occasions|anlässe
anonymous|anonym
Aristotle|aristoteles
extinguish|auslösche/auszulöschen
questionable|fragwürdig/bedenklich
is founded|begründe
art converted|bekehrst
Buss|buß
income|einkommen
recommend|empfehle
inventor|erfinderin
blackmailed|erpresst
exactly|exakt
fiction|fiktion
research|forsch
fractal|fraktal
buildings|gebäuden
interpreted|gedeutet
eaten|gegessen
striped|gestreift
yesterday's|gestrig
paid|gezahlt/ausgezahlt
cultured|gezüchtet
home teacher|hauslehrer
harry|heeren
Heal|heile
high eighth|hochachte
Universities|Hochschulen
Lawyer|juristin
climb|kletterst/besteige
literary|literarisch
classmate|mitschüler/klassenkamerad
Reprints|nachdrücke
lowest|niedrigst/tiefste/unterste
write down|notierst
packed|packte
arrow|pfeil
purity|reinheit
esting|santes
apron|schurz
surge|schwall
shake|schüttelst/schütteln/erbeben/rütteln
secretions|sekreten
emerald|smaragd
heck|solls
jumped|sprang
marvel|staune
apt|treffend
perimeter|umkreis
cause kerst|verankerst
heard|vernahm
undertook|vornahm/unternahmen
waters|wassern
re-think|wiederfinde
lust|wollust
toe|zeh
gained|zugelegt
hold back|zurückhalte
eyebrow|augenbraue
operated|betätige
States|Bundesländer
Christianize|christianisieren
discourage|entmutige
kindle|entzünde
hip|hüfte
cling|klammere
disregard|missachte
A Journey|mitreise
naive|naiv
iridescent|schillernd
Silesia|Schlesien
sole|sohle
devilish|teuflisch
improper|ungehörig
deny|verneine/leugne
be late|verspäte
analysis|analyse
arabs|arabern
labor|arbeitskräfte
attribute|attribut
open my|aufmache
Recovery|Aufschwung
supervision|aufsicht
Performers|ausübe
processing|bearbeitung/verarbeite
known to give|bekanntgebt
bitterness|bitterkeit
bay|bucht
citizens|bürgern
in it|drin
corr|entspr
disarm|entwaffne
extinguished|ausgelöscht/erlösche
fails|fehl
fee|gebühr
brain|gehirn
comfortable|gemütlich/behaglich
unions|gewerkschaften
grant|gewähre
greed|gier
glass|glas
Superpower|Großmacht
gardener|gärtner
home-Meier|hausmeier
hung|hingen
dog|hund
infecting|infiziere
thousands of years|jahrtausenden
calendar|kalender
trowel|kelle
consequence|konsequenz
Circles|kreist
Then sit|lehn
leash|leine
emissions|missionen
neighborhood|nachbarschaft
proof|nachweis
Personalities|persönlichkeiten
path|pfad
tarpaulin|plane
projects|projekte
rounded|rundlich
sisters|schwestern
Committees|schüsse
champagne|sekt
seventy|siebzig
radiation|strahlung
systems|systeme
daytime|tageszeit
comforting|tröstens/tröstlich
towers|türme
outrageous|unverschämt/unerhört
infertile|unfruchtbar
unrest|unruhen
maintains|unterhält
teaching should|unterrichts
ignorance|unwissen/unwissenheit
etc|usw
Generalize|verallgemeinere
admirer|verehrer
mock|verhöhne/verspotte
rejuvenated|verjünge
verse|strophe/versen
swap|vertausche
pointed|hingewiesen/verwies
hag|vettel
day before|vortag
contradict|widersprich
tooth|zahn
economist|ökonom
surplus|überschuß
apostate|abtrünnig
aft|achtern
arrive|anreist
should grow as|anwachse
versed|auskenne
mayoress|bürgermeisterin
chronic|chronisch
been there|dagewesen
seal|dichtung/siegeln
transferring|einbringe
fall asleep|einschlafen
electronic|elektronisch
escaped|entgangen/entkam/entging
snatch|entreiße
them escape|entrinne
vomited|erbrach
Sustainer|erhalter
excite|errege
rang out|erscholl
bland|fade
fanatic|fanatisch
cowardly|feiger/feig
fortress|festung
Lock to|fixierst
fruit|frucht
cast|gegossen
chased|gejagt
magnanimous|großmütig
lived|zusammengelebt/hausten
hieroglyph|hieroglyphe
am hungry|hungre
Japanese|japanisch
journals|journale
knock|klopfst
Communist|kommunistin
Constantinople|konstantinopel
correctly|korrekt
listen|zuhörst/lausche
delete|lösch/löschst
manifesting|manifestierst
communicate|mitzuteilen
mysterious|mysteriös/geheimnisvollere
orally|mündlich
tend|neige
palaces|paläste
abandoned|preisgab
professional|beruflichem/professionell
psychological|psychologischem
smelt|roch
salads|salate
sweethearts|schatze
authoress|schriftstellerin
swing|schwingst
blackness|schwärze
archipelago|schären
seventeenth|siebzehnte
sunrise|sonnenaufgang
spectacle|spektakel
athletic|sportlich
constitutional law|staatsrechtler
pin|stift
synod|synode
reprimand|rüge/tadeln
czechoslovakia|tschechoslowakei
undisturbed|ungestört
in to it|unterziehe
tour operators|veranstaltern
traversed|verfahrende
advocating|verfechte
resist|widerstehe
wording|wortlaut
are warming|wärmst
tabernacle|zeltes
get together|zusammenkomme
tough|zäh
descended|abstamme
Vehicle Transport|auslieferer
intermittent|aussetze
Pacify|befriede
notify|benachrichtige
summoned|beschied
appease|besänftige
within|binnen
boat|boot
dim|dämmerig
defuse|entschärfe
lie behind|hinterlege
India|indien
Initiate|initiiere
cold-blooded|kaltblüter
consolidating|konsolidiere
manipulative|manipuliere
nominate|nominiere
Place|platziere
Shrine|schreins
vanish|schwinden/entschwinde
thankless|undankbare
behaving|verhaltende
conceal|verheimlichen
disdain|verschmähe
snared|verstrickst
hush up|vertuschen
reviving|wiederbelebe
poach|wildern
centrally|zentral
deeply|zutiefst
hesitate|zögern
chaste|züchtiger
Occidental|abendländer
write off|abschreiben
amusing|amüsant
attracted|angezogen/hingezogen/anzog
Argentina|argentinien
calling|aufrief
broke out|ausbrach
sally|ausfalle
exit|austritt
autonomous|autonom
buried|begrub/beigesetzt/eingegraben
wel|begrüß
need your|bräuche
malignant|bösartig
chemical|chemischem
then go|dahingehe
discipline|disziplin
break into your|einbreche
indigenous|eingeboren
receptive|empfänglich
taken from|entnommen/entnehme
hereditary|erblich
tatters|fetzen
the foot|fuße
structure|struktur/gefüge
excavated|gegraben
haunt|geistern
loaded|geladen
sat|gesessen
strengthened|gestärkt
symmetry|gleichmaß
gracious|gnädig
grim|grimmig
grudge|gönn/gönnst
may grow|heranwachse
constant|unentwegt/konstant
courses|kursen/kurse
for sale|käuflich
chefs|köchen
deliberative|legender
Physical|leibe
mastering|meisterst/meistere
Middle Ages|mittelalter
give in|nachgebe
disposition|naturell
panther|panter
whip|peitsche
Phoenix|phönix
try on|probierst
smokes|raucht
mature|ausgereift/reifer
setback|rückschlag
slaughter|schlachte
forge|schmieden
Schroeder|Schröder
stagger|schwankst
sharpening|schärfens
rarest|seltenst
Winners|Siegern
meaningless|bedeutungslos/sinnlos
was holding|standhalte
strategist|stratege
Chairs|stuhle
rod|stäbchen
dancing|tanzende
Deaf|tauber
violated|verletze
pull over|vorbeiziehe
prepare|vorzubereiten
give further|weitergebe
real contribution|wertem
numerical|zahlenmäßig
retarded|zurückgeblieben
back soft|zurückweiche
bring together|zusammenbringe
ecology|ökologie
old-fashioned|altmodisch
fertilize|befruchte
evaluating for|begutachte
teachest|belehrst
appeasing|beschwichtige
elastic|elastisch
fathom|ergründe
explode|explodiere
lazy|fauler
focusing|fokussiere
frugal|genügsam
Install|installiere
investing|investiere
confront|konfrontiere/gegenüberstehe
convert|konvertiere
corinth|korinth
cultivate|kultiviere
motivate|motiviere
nods|nickt
reactivate|reaktiviere
dizzy|schwindelig
Sterilize|sterilisiere
sympathetic|sympathisch
involuntarily|unwillkürlich
slowing|verlangsame
pledge|verpfände
dry up|versiegen
offensive|widerwärtig
ceremony|feierlichkeit/zeremonie
overestimate|überschätze
eighth|achte
eighty|achtzig
accent|akzent
reigning|amtierendem
facilities|anlagen
muster|aufbringe
bag|beutel
brothers|brüdern
beech|buche
Bourgeoisie|Bürgertum
chemist|chemiker
that of|demjenigen
cathedral|dom
dragon|drache
penetrated|eingedrungen/durchdrang
egoism|egoismen
objection|einwände/einwandes/einspruch
concord|eintracht
railroad|eisenbahn
elephant|elefant
design|entwurf
Inventing|erfindens
harvest|ernte
turns out|erweist
archbishop|erzbischof
stage|etappe
flows|fließt
fragile|zerbrechlichem/fragil
globalize|globalisieren
luck|glücks
captain|hauptmann
front door|haustür
harsh|herbe
obstacles|hindernisse
Contents|Inhaltsverzeichnis
italy|italiens
Canaan|kanaan
kilometers|kilometern
knot|knote
ball|kugel
manifested|kundgab
purchases|käufe/einkaufe
kiss|kuß/küsse
Lubeck|lübeck
brand|marke
meters|metern
neighbor|nachbarin/nachbar
Innovation|Neuerung
products|produkte
Embossed|präge
President|präsidentin
Regulations|Regelungen
rhythm|rhythmus
bask|sonnst
spatulate|spateln
speculation|spekulation
encounters|stößt
chairs|stühle
aunt|tante
dip|tauch
connectors|verbindern
merit|verdienst
progressions|verläufe
mediate|vermittle
mediation|vermittlung
The procedure|vorgegangen
coat of arms|wappen
Christmas|weihnacht
civilization|zivilisation
restraint|zurückhaltung
contiguous|zusammenhängendem
jurisdiction|zuständigkeit
branch|zweig
two thousand|zweitausend
interim|zwischenzeit
Zurich|zürich
doctors|ärzte
PLA|abspiele
update|aktualisiere
allude|anspiele
keep a collection of|archiviere
testified|ausgesagt
INTENDED|bezwecke
disgrace|blamiere
brilliant|brillante
debating|debattiere
pierce|durchstoße/durchbohre
by flute|durchflute
by löchere|durchlöchere
expropriating|enteigne
deflate|entleere
borrow|entlehne
authorize|ermächtige/autorisiere
dream up|erträume
weighty|gewichtig
hysterical|hysterisch
improvise|improvisiere
stage manager|inspizient
Mask|maskiere
revamp|modernisiere
modify|modifiziere
Narcissus|Narziss
pedantic|pedantisch
propagating|propagiere
reproduce|reproduziere
restaurate|restauriere
rhythmic|rhythmisch
was suspending|suspendiere
secularizes|säkularisiere
Territorial|territoriale
transporting|transportiere
unusable|unbrauchbar
tirelessly|unermüdlich
inaccessible|unzugänglich
condense|verdichte
Realize|vergegenwärtige
starve|verhungere
charge you|verrechne
gamble|verspiele
denigrates|verunglimpfe
disfiguring|verunstalte
annoy|ärgern/verärgere
about dache|überdache
skim|überfliege
fallen|gefallenem/abgefallen
taken up|angetreten
to meet|anzutreffen
apparatus|apparat
archaeologist|archäologe
essay|aufsatz
unlocked|aufschloß
excreted|ausgeschieden
triggers|auslöst
excludes|ausnehme
dodge|ausweichen
building block|baustein
cup|becher
commander|kommandant/befehlshaber
persist|beharrst
circumcised|beschnitt
stoopest|bückst
turns|dreht
threatened|drohe
introduce|einzuführen
vain|eitle
eleventh|elfte
recommends|empfehlt
opposite|entgegengesetzt
ground|erden
require|erfordern
fared|erging
scared|erschrocken
amazing|erstaunlichem/erstaunliches
fifteenth|fünfzehnte
honored|geehrt/gewürdigt
heaped|gehäuft
laughter|gelächter
noted|gemerkt
satisfaction|genugtuung
sacrificed|geopfert
rolled|gerollt
sung|gesungen
greedy|gierig
embers|glut
trenches|gräben
greets|grüßt
handful of|handvoll
hate|hassen
ideologist|ideologin/ideologe
Home Secretary|innenminister
Irish|irische
chases|jagt
cheer|jubeln
Canadian|kanadisch
crack|riss/riß/knacks
complication|komplikation
crosses|kreuzt
career|karriere/laufbahn
bodily|leiblich
Majesties|majestäten
methodology|methodik
Nation-state|Nationalstaat
arrange|ordne
parallel|parallele
pound|pfund
provoke|provozierst
radically|radikal
lawfully|rechtmäßig
incentives|reize
buy upgraded|rüstest
sultry|schwül
longs|sehnt
sigh|seufze/seufzt
symbol|sinnbild
stroll|spaziere/schlendere
static|statisch
scrap|stückchen
devil|teufel
cloudy|trüb
detour|umweg
unaffected|unberührt
inevitably|zwangsläufig/unweigerlich
whereabouts|verbleib
forget|vergiß
accomplished|vollbracht
Previous year|Vorjahr
providing for|vorsah
converts|wandelt
worthless|wertlos
roll|wickels
tome|wälzer
sorceress|zauberin
rooms|zimmern
recover|zurückzugewinnen
got on|zustieg
cynical|zynisch
Austria-Hungary|Österreich-Ungarn
encroachment|übergriff
discouraging|abschrecke
Adopt|adoptiere
household with|anschaffe
omitted|weggelassen/ausgelassen
try out|ausprobiere
gifted|begabter
congratulate|beglückwünsche
leg hold|beinhalte
was conducting|dirigiere
inflame|entflamme
redeem|erlösen
expanding|expandiere
fearful|furchtsam
conducive|förderlich
razor|gestochen
tomb|grabmal
domestic|häuslich
intensify|intensivieren
irritate|irritiere
castrate|kastriere
comma diere|kommandiere
liquidate|liquidiere
localize|lokalisiere
collected IN QUESTION|misshandele
talkative|redselig
sleepy|schläfrig
Committee field|schussfeld
gay|schwuler
self-assured|selbstsicher
stimulate|stimuliere
strict|strenges
incorruptible|unbestechlich
inexplicable|unerklärlich
irreplaceable|unersetzlich
unsuitable|ungeeignet
unscholarly|ungelehrt
abdomen|unterleib
bleeding to death|verblute
Grant that|vergönne
Leaving|verlassend
embarrassed|verlegene
merge|verschmelze
square|viereck
pretend|vorgibst/vorzugeben
cheating with|vortäusche
disgusting|ekelig/widerlich
angry|zornig/wütende
lead back|zurückführe
outlast|überdauere
come on|überkomme
operating rod|arbeitsstab
assistive animals|assistiere
intrusive|aufdringlich
freshening|auffrische
erected|aufgerichtet
fill out|ausfülle
root out|ausrotte
spying|ausspioniere
considerable|ansehnliche/beachtlich
defile|beschmutze
sprinkled|bespritze
bloodthirsty|blutrünstig
hum|gemurmel/surren/brummen
Baths|bäder
desert animals|desertiere
by working|durcharbeite
by combing|durchkämme
steeping|durchtränke
rummage|durchwühle
zeal|eifer
haunting|eindringlichem
simple|einfaches
classifies|einreihe
emotional|pathetisch/emotionell/emotionalem
devoid of|entbehre
inheriting|erbend
redeemed|erlöst
soften|erweiche
shiver|erzittere
Transforming|formiere
friendly|freundlichere/freundschaftliche
fanning|fächele
healthier|gesünder
conscientious|gewissenhaft
home search|heimsuche
devoted to|hingegeben
ugly|hässlich/häßlich
scornfully|höhnisch
intervene|interveniere
consult|konsultiere
Crucify|kreuzige
artistically|kunstvoll
silently|lautlos
gullible|leichtgläubig
inferior|unterlegene/minderwertig
mount|montiere
neutralizing|neutralisiere
superficial|oberflächlich
pessimistic|pessimistisch
ram|rammen
respectable|wohlanständig/respektabel
speedy|baldig/schleunig
conclusions|schlüssen
gravel|schotter
Talented|talentierte
pregnant|trächtig
treacherous|tückisch
circumscribe|umschreibe
naughty|unartige
invincible|unbesiegbar
undecided|unentschieden/unentschlossen
irrelevant|unerheblich
undue|ungebührlich
implausible|unglaubwürdig
unyielding|unnachgiebig
unnatural|unnatürlich
under broad|unterbreite
inseparable|untrennbar
unforgivable|unverzeihlich
unreal|unwirklich
seductive|verführerisch
forgetful|vergesslich
advantageous|vorteilhaft
changeful|wechselvollem
knowingly|wissentlich
Zugspitze|zuspitze
above average|überdurchschnittlich
hypersensitive|überempfindlich
cocky|übermütig
on stand|überstehe
heels|absätze
African|afrikanisch
reached|angelangt
first go|anhieb
don|anziehe
adapt|anzupassen
artillery|artillerie
stood up|aufgestanden
prelude|auftakt
Australian|australisch
outside|außenseite
Balkans|balkan
Bavarian|bayerin/bayerischem
more convenient|bequemer
beast|bestie
Education|Bildungsweg
aperture|blende
Interpretation|Deutung
roofs|dächer
just such|ebensolche
very own|eigenste
intervention|eingriff
agreement|einvernehmen
considering|erwäge
ethically|ethisch
Etruria|etrurien
keep|fernzuhalten
raft|floß
erroneously|fälschlich
guarantees|garantien
Requested|gebetene
brew|gebräu
twisted|gedreht
belonging|gehörig
cooked|gekocht
crossed|gekreuzt
paralyzed|gelähmt
surveyor|geometer
planted|pflanzt/gepflanzt
swollen|geschwollen
fed|gespeist
blissful|glückselig
glaring|grell
borders|grenzt
cornerstone|grundstein
cherish|hege
excelled|hervortat
here over|hierüber
High mountains|Hochgebirg
university|hochschule
most frequently|häufigst
storing up|häufst
intact|unversehrt/intakt
piano|klavier
hospitals|krankenhäuser
lifestyle|lebensstil
lesson|lektion
song|lied
let go|loslasse
lorraine|lothringen
ventilating|lüfte
mathematician|mathematiker
mile|meile
fatigue|müdigkeit
reverberation|nachhall
scar|narbe
national socialist|nationalsozialist
although|obgleich
Olympus|olymp
Oriental|orientalen
racist|rassistisch
juice|saft
bless|segnest
Social|sozialdemokrat
game plan|spielplan
brittle|spröd
State men|staatsmänner
stabbing|stachen
city ​​council|stadtrat
tribal|stamme
cancellation|absage/storno
blunt|stumpf
viewfinder|sucher
Dances|tanzt
supporting|tragende
unpredictable|unberechenbar
unbound|ungebunden
unequal|ungleiche
unrecognizable|unkenntlich
immature|unreif
unclean|unrein
suspicious|verdächtig
leaves|verlässt
concealed|verschwieg
international law|völkerrecht/völkerrechtliche
Way|weges
weekly|wöchentlich
more random|zufälligere
summarized|zusammengefasst
entitled|zustehen
moreover|überdies
was overcome|überkam
affair|affäre
Approaches|Ansätze
trip|ausflug
blows|bläst/weht
between|dazwischen
darkness|dunkelheit
by measuring|durchmessen
Elites|Eliten
commitment|engagement/zusage
with Angels|engeln
family life|familienleben
fist|faust
footbath|fußbad
shouts|geschrei
mine|grube/meins/verminen
senior secondary schools|gymnasien
Hegemony|Hegemonie
hell|hölle
year-end|jahresende
jurgen|jürgen
dago|kanake
Classical|klassik
smallest|kleinst
cabbage|kohl
congress|kongress
Opponent|Kontrahent
correction|korrektur
living history|lebensgeschichte
years|lebensjahr
disagreement|meinungsverschiedenheit
members|mitgliedern
shortcomings|mängel
partners|partnern
passengers|passagiere
keeper|pfleger
physics|physik
Prague|prag
square meter|quadratmeter
rivalry|rivalität
radio|rundfunk
ship|schiff
writer|schriftsteller
shoemaker|schuster
sings|singt
turks|türken
pasture|weide
further develop|weiterentwickle
Assignment|Zuordnung
Teeth|zähne
footprints|abdrücke
skim off|abschöpfe
Feeders|abzweige
fooling|albere
antiquities|altertümer
As to|anbelange
was continuing|andauere
or offsetting|anrechne
enumerate|aufzähle
detailed|ausführlichem
turn off|ausschalte
crucial|ausschlaggebend
hand out|austeile
Harass|belästigst
notorious|berüchtigt
accuse|bezichtige/anklagen
blink|blinzele
discrediting|diskreditiere
by doing|durchmache
elicit|entlocke
expansive|expansiv
ready to put|fertigstelle
momentous|folgenschwer
advanced|fortschrittliche
cycled|geradelt
greyish|gräulich
pondering|grübele
Taking out|herausbilde
around comma diere|herumkommandiere
crouch|hockst/duckst
fervently|inständig
costly|kostspielig
lucrative|lukrativ
relish|lustvoll
mathematically|mathematisch
lousy|mieser
Eastern Front|ostfront
chat|plaudere
polarize|polarisiere
Ptolemies|ptolemäer
reactionary|reaktionär
panties|schlüpfer
pout|schmolle
playable|spielbar
totalitarian|totalitär
unsatisfactory|unbefriedigend
thoughtless|unbedacht/unbesonnen
undeniably|unbestreitbar
vital|vitalem/unerlässlich
inexhaustible|unerschöpflich
uneducated|ungebildet
impartial|unparteiisch
inappropriate|unpassend/unangebracht
unrealistic|unrealistisch
unsympathetic|unsympathisch
substantiate|untermauere
embezzling|unterschlage
unfaithful|untreu
irresponsible|verantwortungslos/unverantwortlich
uncorrupted|unverdorben
responsibly|verantwortungsvoll
vouch for|verbürge
thirsty|verdurste
admirable|verehrungswürdig/bewundernswert
complicate|verkompliziere
preventing their|vorbeuge
withholding|vorenthalte
perceptible|wahrnehmbar
more telling|weitererzähle
keep going|weitermache
disruptive|zerrüttend
together at the|zusammenstelle
resemble|ähnele
bedspread|überdecke
weary|überdrüssig
haughty|überheblichem
excessively|übermäßig
stare at|anstarre
breathe|atme/atmest
Take command|befehlige
numb|betäubst
urgent|dringlich
insert|einfügen
freeze to death|erfriere
sustaining|erhaltende
serious|ernstlich/ernstere
exotic|exotischem
continued life|fortdauer
Galicia|galizien
civilized|gesittet
indiscreet|indiskretem
communicating|kommuniziere
puke|kotzen
Beginning of the war|Kriegsbeginn
curious|neugierigem
Peter|petrus
motionless|regungslos
stamp|stempel/stempeln
embroidering|stickend
sadness|traurigkeit
imperfect|unvollkommen
darn|verflixt
very much|vielmals
full draw|vollziehe
prevails|vorherrsche
vulgar|vulgäre
waver|wanken
washable|waschbar
brickworks|ziegelei
on going|überfahre
Castalia|Kastaliens/Kastalien
superstitious|abergläubisch
resigned|resigniere/abgefunden
deported|abgeschoben
matched|abgestimmt
blocked|abgewehrt
distract|ablenkst/abzulenken
refrain|abzusehen
ape|affen
Alpine|alpin
suggestive|andeute
incoming|ankomme
mess|anlegst
adapts|anpasst
to create|anzulegen
to make|anzustellen
aristocrat|aristokrat
doctor|arzt
breaking open|aufbreche
cleaned up|aufgeräumt
risen|aufgestiegen/aufgegangen
grew up|aufgewachsen
came up|aufkam
orders|aufträge
develop|auszuarbeiten/ausbauen
deliver|abzuliefern/auszuliefern
exclude|auszuschließen
bathroom|bad
civil servant|beamter
needs|bedürfnisse
laden|belade
shoed|beschlug
Fine|bildende
cheaper|billiger
approves|billigt
blew|blies
brow|braue
castles|burgen
Alliances|Bündnisse
memorable|denkwürdig
darkest|dunkelst
inlet|einlass
observed|einzuhalten
involved|einzulassen
take|nimm/mitzunehmen/einzunehmen
elbow|ellenbogen
get tired|ermüde
fencing|fechte
flexible|flexibel
formed|formte
pleasures|freuden
princess|fürstin/prinzessin
feared|gebangt
favor|gefälligkeit
joint|gelenks
curly|gelockt
justice|gerechtigkeit
looked|geschaut/aussah
damaged|geschädigt
washed|gewaschen
gun|geschütz/gewehr
the same name|gleichnamig
equivalent|gleichwertig
global|globalem
greeting|gruß
healer|heiler
heals|heilt
heroism|heldenmut/heldentum
came on|herankam
sat down|hingesetzt
limp|hinkst
tribunals|höfe
horns|hörner
institutional|institutionell
erring|irrend
dress|kleid
trifle|kleinigkeit
composites|komposita
curve|kurve
short-term|kurzzeitig/kurzfristig
logistics|logistik
casual|lässig
maid|magd
majestic|majest
matron|matrone
maximum|maximale
medium-sized|mittelgroß
Central Powers|Mittelmächte
grumpy|mürrisch
forbearance|nachsicht
look up|nachzusehen/aufschaue
prove|nachzuweisen
nationality|nationalität
National Assembly|Nationalversammlung
latest|neuste
void|nichtig
openness|offenheit
panic-stricken|panisch
Fantastic|phantastik
poster|plakat
planned|plante
Pliny|Plinius
procession|prozession
prehistoric|prähistorisch
furious|rasende
actress|schauspielerin
awry|schief
squint|schielst
scolds|schilt
cords|schnüre
safe|sicheres
feeds|speist
sphere|sphäre
point of view|standpunkt
swot|streber
underline|unterstreiche/streiche
prank|streichs
folly|torheit
to kill|umzubringen
implement|umzusetzen
inexorably|unerbittlich/unaufhaltsam
approximate|ungefähre
impetuous|ungestüm
unimaginable|unvorstellbar
inadvertently|versehentlich
Defenders|Verteidigern
foreword|vorwort
It also reflects|vorzufinden
preferable|vorzuziehen
wart|warze
graze|weiden
widely|weiträumig
ideological|weltanschaulich
world-famous|weltberühmt
man of the world|weltmann
blast|windstoß
vortex|wirbel
goat|ziege
attributed|zugeschrieben
recalled|zurückgerufen
drawn together|zusammengezogen
was related|zusammenhing
growth|zuwachs
twin|zwilling
barren|öde
exaggerate|übertreib
lush|üppig
sideboard|anrichte
was preparing|anschicke
tune a|anstimme
an effort|anstrenge
Arcadian|arkadi
resurrect|auferstehe
put up|aufgelegen
SELECTING|auswähle
shelled|beschoss
cough up|blechen
thicker|dickere
three times|dreifach
announcement|durchsage
inspire in|einflöße
enters|einreist
intimidating|einschüchternd
once before|einstehe
infuriated|erbost
erotic|erotischem
butterfly|falter
ridge|first
formulas|formeln
go away|fortfahre/fortgehe
sparkling|funkelnd
shaped|geformt
Witty|geistreiche
enjoyed|genoß
greenest|grünst
into appliances|hineingerate
pride|hochmut
breezy|kessem
ankle|fessel/knöchel
goblins|kobolde
headless|kopflos
pathological|krankhaft
apprentice|lehrling
machine gun|maschinengewehr
cap|mütze
box on the ears|ohrfeige
relic|relikt
nasty|fies/scheußliche
loop|schlaufe/schlinge
sniff|schnuppern
hexagon|sechseck
solid|solide
speculate|spekuliere
gimmick|spielerei
bubble|sprudeln
undoubted|unzweifelhaft
make sure|vergewissere
degenerate|verkommende
fully bring|vollbringe
wistful|wehmütigem
more travel|weiterreise
adverse|widriger
send back|zurückschicke
WOULD together|zusammenwirke
Seconded|abgeordneter
assumptions|annahmen
employees|arbeitern
Labor market|Arbeitsmarkt
mode of expression|ausdrucksweise
accompaniment|begleitung
mayor|bürgermeister
dialogue|dialog
thirteen|dreizehnjährig/dreizehn
energy|energie
designs|entwürfe
narrator|erzähler
windows|fenstern
stains|flecke
guarantor|garant/bürge
winning|gewinnt
graphic|grafik
halfway|halbwegs
dogs|hunden/hunde
Jesuit|jesuiten
empress|kaiserin
under no circumstances|keinesfalls
clarity|klarheit
curia|kurie
textbook|lehrbuch
fair|faires/messe
at midday|mittags
midnight|mitternacht
munich|münchner
retrospect|nachhinein
grade|note
uncle|onkel
uncles|onkeln
victim|opfers
plague|pest
platform|plattform/bahnsteig
poetry|poesie
virtually|quasi
rescue|rettung
pink|rosa
referee|schiedsrichter
Swabian|schwäbische/Schwabe
sulfur|schwefel
storm|sturm
killing|tötung
surroundings|umfeld
a priori|vornherein
commodity|ware
warns|warnt
Alchemist|Alchimist
adventurer|abenteurer
strayed|abgekommen
expired|abgelaufen
discontinued|abgesetzt
abysmal|abgrundtief
pay her|abstatte
dismisses|abweise
file|akte
all this|alledem
ubiquitous|allgegenwärtig
andalucia|andalusien
tethered|angebunden
logged|angemeldet
arrogates|anmaßt
Antwerp|antwerpen
put on|anziehst
to listen|anzuhören
disputing|anzweifele
unemployed|arbeitsloser
Armenia|armenien
ash|asche
depleted|aufgebraucht
torn|aufgerissen
shall hear,|aufhorche
clean up|aufräume
laugh at|auslache
extent|ausmass
exclamation|ausruf
Austrasia|austrien
basilica|basilika
deplorable|bedauernswert
, cover|bedecke
should attend|beiwohne
concerns|belange
kid|bengel
behave|benimm
is based|beruhe
better knowledge|besserwissens
fraudulent|betrüge
trillion|billion
bites|bisse
Looking|blickend
blood-red|blutrot
Lake Constance|Bodensee
Brazilian|brasilianisch
villain|bösewicht
charm|charme
decadence|dekadenz
distances|distanzen
the finest|edelstem
efficient|effizient
Influence|Einflusse
introduced|eingebracht
be clear|einleuchten
grants|einräume
elf|elfen
parents' house|elternhaus
precludes|entgegenstehe
more decisive|entscheidendere
climb up|erklimme
favorite|favorit
greasy|fettig
Finland|finnland
airport|flughafen
freer|freiern
releasing|freigebe
free do|freimache
due|fällig
bilious|gallig
humiliated|gedemütigt
commemorates|gedenkt
flown|geflogen
dyed|gefärbt
felt|gefühlt
smoothed|geglättet
prevented|gehindert
deleted|gelöscht
hired|gemietet
geologist|geologe
Georgia|georgi
Court of Justice|gerichtshof
Forged|geschmiedet
split|gespalten
nevertheless|gleichwohl
slip|patzer/gleite
glowing|glühende
Great Powers|Großmächte
basic Act|grundgesetzes
detention|haft
adhere|haften
resin|harz
the main thing|hauptsache
booklets|hefte
entertain|hegen
healing|heilende
haunted|heimgesucht
conjured up|heraufbeschwor
